68,"00:12:51,612","00:12:54,014",<i>Tell them I'm no coward.</i>
69,"00:12:54,048","00:12:56,183",<i>Tell them I'm sorry.</i>
70,"00:13:13,000","00:13:14,768","Forgive me, Lord."
71,"00:13:18,672","00:13:21,474",In the name of Robert
71,"00:13:18,672","00:13:21,474","of the House Baratheon,"
72,"00:13:21,508","00:13:23,409",- the first of his name...
72,"00:13:21,508","00:13:23,409",- Don't look away.
73,"00:13:23,443","00:13:25,183",<i>...King of the Andals</i>
73,"00:13:23,443","00:13:25,183",<i>and the first men...</i>
74,"00:13:25,184","00:13:26,322",Father will know if you do.
75,"00:13:26,347","00:13:29,882",<i>...Lord of the Seven Kingdoms</i>
75,"00:13:26,347","00:13:29,882","<i>and protector of the realm,</i>"
76,"00:13:29,917","00:13:32,652","I, Eddard of the House Stark,"
77,"00:13:32,687","00:13:35,556",Lord of Winterfell
77,"00:13:32,687","00:13:35,556","and warden of the north,"
78,"00:13:35,590","00:13:38,125",sentence you to die.
79,"00:13:52,574","00:13:55,041",You did well.
80,"00:14:22,236","00:14:24,170",You understand
80,"00:14:22,236","00:14:24,170",why I did it?
81,"00:14:24,204","00:14:26,172",Jon said
81,"00:14:24,204","00:14:26,172",he was a deserter.
82,"00:14:26,206","00:14:28,874",But do you understand
82,"00:14:26,206","00:14:28,874",why <i>i</i> had to kill him?
83,"00:14:28,909","00:14:30,676","""Our way is the old way""?"
84,"00:14:32,278","00:14:34,246",The man who passes
84,"00:14:32,278","00:14:34,246",the sentence
85,"00:14:34,280","00:14:36,014",should swing the sword.
86,"00:14:37,083","00:14:39,418",Is it true he saw
86,"00:14:37,083","00:14:39,418",the White Walkers?
87,"00:14:41,220","00:14:44,290",The White Walkers have been
87,"00:14:41,220","00:14:44,290",gone for thousands of years.
88,"00:14:44,324","00:14:47,127",So he was lying?
89,"00:14:51,066","00:14:53,868",A madman sees what he sees.
90,"00:15:19,628","00:15:21,796",What is it?
91,"00:15:23,565","00:15:26,234",Mountain lion?
92,"00:15:27,536","00:15:29,538",There are no Mountain lions
92,"00:15:27,536","00:15:29,538",in these woods.
93,"00:16:15,522","00:16:17,523",It's a freak!
94,"00:16:18,425","00:16:21,160",It's a direwolf.
95,"00:16:29,003","00:16:31,737",Tough old beast.
96,"00:16:33,173","00:16:35,941",There are no direwolves
96,"00:16:33,173","00:16:35,941",south of the wall.
97,"00:16:35,975","00:16:38,109",Now there are five.
98,"00:16:38,144","00:16:40,812",You want to hold it?
99,"00:16:45,017","00:16:47,518",Where will they go?
100,"00:16:47,553","00:16:49,354",Their mother's dead.
101,"00:16:49,388","00:16:51,023",They don't belong
101,"00:16:49,388","00:16:51,023",down here.
102,"00:16:51,057","00:16:52,991",Better
102,"00:16:51,057","00:16:52,991",a quick death.
103,"00:16:53,025","00:16:54,893",They won't last
103,"00:16:53,025","00:16:54,893",without their mother.
104,"00:16:54,927","00:16:57,095",- Right. Give it here.
104,"00:16:54,927","00:16:57,095",- No!
105,"00:16:57,130","00:16:58,863",Put away your blade.
106,"00:16:58,897","00:17:01,032",I take orders
106,"00:16:58,897","00:17:01,032","from your father, not you."
107,"00:17:01,067","00:17:03,868","- Please, father!"
107,"00:17:01,067","00:17:03,868","- I'm sorry, Bran."
108,"00:17:03,903","00:17:05,771",Lord Stark?
109,"00:17:05,805","00:17:08,273",There are
109,"00:17:05,805","00:17:08,273",five pups...
110,"00:17:09,742","00:17:11,609",one for each
110,"00:17:09,742","00:17:11,609",of the Stark children.
111,"00:17:11,644","00:17:14,446",The direwolf is the sigil of your House.
112,"00:17:15,814","00:17:18,016",They were meant
112,"00:17:15,814","00:17:18,016",to have them.
113,"00:17:22,955","00:17:25,390",You will train them
113,"00:17:22,955","00:17:25,390",yourselves.
114,"00:17:25,424","00:17:27,392",You will
114,"00:17:25,424","00:17:27,392",feed them yourselves.
115,"00:17:27,426","00:17:30,462","And if they die,"
115,"00:17:27,426","00:17:30,462",you will bury them yourselves.
116,"00:17:38,670","00:17:40,805",What about you?
117,"00:17:41,707","00:17:43,308",I'm not a Stark.
118,"00:17:43,342","00:17:45,543",Get on.
119,"00:17:54,620","00:17:57,022",What is it?
120,"00:18:00,826","00:18:04,796",The runt of the litter--
120,"00:18:00,826","00:18:04,796","that one's yours, snow."
121,"00:19:04,654","00:19:08,090","As your brother,"
121,"00:19:04,654","00:19:08,090",I feel it's my duty to warn you:
122,"00:19:09,359","00:19:11,393",You worry too much.
123,"00:19:11,428","00:19:14,763",- It's starting to show.
123,"00:19:11,428","00:19:14,763",- And you never worry about anything.
124,"00:19:16,466","00:19:20,036",<i>When we were seven</i>
124,"00:19:16,466","00:19:20,036",<i>and you jumped off</i>
124,"00:19:16,466","00:19:20,036","<i>the cliffs at Casterly Rock,</i>"
125,"00:19:20,070","00:19:22,405","100-foot drop into the water,"
126,"00:19:22,439","00:19:24,507",and you were never afraid.
127,"00:19:24,542","00:19:27,243",There was nothing to be afraid of
127,"00:19:24,542","00:19:27,243",until you told father.
128,"00:19:27,277","00:19:29,144","""We're lannisters."
129,"00:19:29,178","00:19:31,646",Lannisters
129,"00:19:29,178","00:19:31,646","don't act like fools."""
130,"00:19:33,316","00:19:35,583",<i>What if Jon Arryn</i>
130,"00:19:33,316","00:19:35,583",<i>told someone?</i>
131,"00:19:35,618","00:19:37,918",But who would he tell?
132,"00:19:37,953","00:19:41,088",- My husband.
132,"00:19:37,953","00:19:41,088","- If he told the King, both our heads"
133,"00:19:41,123","00:19:43,323",would be skewered
133,"00:19:41,123","00:19:43,323",on the city gates by now.
134,"00:19:44,859","00:19:47,862",Whatever Jon Arryn
134,"00:19:44,859","00:19:47,862","knew or didn't know, it died with him."
135,"00:19:47,896","00:19:51,699",And Robert will choose a new
135,"00:19:47,896","00:19:51,699",Hand of the King-- someone to do his job
136,"00:19:51,733","00:19:54,635",while he's off fucking boars
136,"00:19:51,733","00:19:54,635",and hunting whores--
137,"00:19:54,670","00:19:57,638",or is it
137,"00:19:54,670","00:19:57,638",the other way around?
138,"00:19:57,673","00:20:00,074",And life will go on.
139,"00:20:00,108","00:20:02,677",You should be
139,"00:20:00,108","00:20:02,677",The Hand of the King.
140,"00:20:02,711","00:20:05,546",That's an honor
140,"00:20:02,711","00:20:05,546",I can do without.
141,"00:20:05,581","00:20:07,715","Their days are too long,"
142,"00:20:07,749","00:20:10,017",their lives are too short.
143,"00:20:48,324","00:20:49,991",All these years
144,"00:20:50,026","00:20:51,693",and I still feel
144,"00:20:50,026","00:20:51,693",like an outsider
145,"00:20:51,727","00:20:53,962",when I come here.
146,"00:20:53,997","00:20:56,532",You have five
146,"00:20:53,997","00:20:56,532",northern children.
147,"00:20:56,566","00:20:59,801",You're not an outsider.
148,"00:20:59,836","00:21:02,771",I wonder
148,"00:20:59,836","00:21:02,771",if the old gods agree.
149,"00:21:03,873","00:21:06,775",It's your gods
149,"00:21:03,873","00:21:06,775",with all the rules.
150,"00:21:11,916","00:21:14,851","I am so sorry, my love."
151,"00:21:16,254","00:21:19,790",- Tell me.
151,"00:21:16,254","00:21:19,790",- There was a raven from King's Landing.
152,"00:21:21,660","00:21:23,361",Jon Arryn is dead.
153,"00:21:23,395","00:21:26,064",<i>A fever took him.</i>
154,"00:21:28,835","00:21:31,136",<i>I know he was like</i>
154,"00:21:28,835","00:21:31,136",<i>a father to you.</i>
155,"00:21:33,939","00:21:37,208","- <i>Your sister, the boy?</i>"
155,"00:21:33,939","00:21:37,208","- They both have their health,"
156,"00:21:37,242","00:21:39,410",<i>gods be good.</i>
157,"00:21:49,154","00:21:52,056",The raven
157,"00:21:49,154","00:21:52,056",brought more news...
158,"00:21:53,292","00:21:55,393",The King rides
158,"00:21:53,292","00:21:55,393",for Winterfell...
159,"00:21:55,428","00:21:57,128",with the Queen
160,"00:21:57,163","00:21:59,297",<i>and all the rest</i>
160,"00:21:57,163","00:21:59,297",<i>of them.</i>
161,"00:21:59,332","00:22:02,601",If he's coming
161,"00:21:59,332","00:22:02,601",this far north...
162,"00:22:03,971","00:22:06,172",There's only
162,"00:22:03,971","00:22:06,172",one thing he's after.
163,"00:22:06,206","00:22:09,242","You can always say no, Ned."
164,"00:22:17,952","00:22:21,689",We'll need plenty of candles
164,"00:22:17,952","00:22:21,689",for Lord Tyrion's chamber.
165,"00:22:21,723","00:22:23,657",I'm told he reads
165,"00:22:21,723","00:22:23,657",all night.
166,"00:22:23,692","00:22:25,593",I'm told he drinks
166,"00:22:23,692","00:22:25,593",all night.
167,"00:22:25,627","00:22:28,930",How much could he possibly drink?
167,"00:22:25,627","00:22:28,930",A man of his...
168,"00:22:28,964","00:22:30,731",Stature?
169,"00:22:30,766","00:22:33,435",We've brought up
169,"00:22:30,766","00:22:33,435",eight barrels of ale from the cellar.
170,"00:22:33,469","00:22:36,004",- Perhaps we'll find out.
170,"00:22:33,469","00:22:36,004","- In any case,"
171,"00:22:36,038","00:22:38,707",<i>candles.</i>
172,"00:22:42,813","00:22:45,882",Why is your mother so dead set
172,"00:22:42,813","00:22:45,882",on us getting pretty for the King?
173,"00:22:45,916","00:22:48,751","It's for the Queen, I bet."
173,"00:22:45,916","00:22:48,751",I hear she's a sleek bit of mink.
174,"00:22:48,786","00:22:50,887",I hear the prince
174,"00:22:48,786","00:22:50,887",is a right royal prick.
175,"00:22:50,921","00:22:52,955",Think of all those
175,"00:22:50,921","00:22:52,955",southern girls he gets to stab
176,"00:22:52,990","00:22:54,557",with his right
176,"00:22:52,990","00:22:54,557",royal prick.
177,"00:22:56,325","00:22:58,460","Go on, Tommy,"
177,"00:22:56,325","00:22:58,460",shear him good.
178,"00:22:58,494","00:23:00,963",He's never met a girl he likes better
178,"00:22:58,494","00:23:00,963",than his own hair.
179,"00:23:37,868","00:23:40,736","Gods, but they grow fast."
180,"00:23:43,106","00:23:44,573",Brandon!
181,"00:23:44,607","00:23:47,943",I saw the king.
181,"00:23:44,607","00:23:47,943",He's got hundreds of people.
182,"00:23:47,977","00:23:51,180",How many times
182,"00:23:47,977","00:23:51,180",have I told you no climbing?
183,"00:23:51,214","00:23:54,082",But he's coming right now--
183,"00:23:51,214","00:23:54,082",down our road.
184,"00:24:00,923","00:24:03,491",I want you
184,"00:24:00,923","00:24:03,491","to promise me,"
185,"00:24:03,526","00:24:05,293",no more climbing.
186,"00:24:09,698","00:24:11,299",I promise.
187,"00:24:13,569","00:24:16,539",- Do you know what?
187,"00:24:13,569","00:24:16,539",- What?
188,"00:24:16,573","00:24:18,874",You always look
188,"00:24:16,573","00:24:18,874",at your feet before you lie.
189,"00:24:21,545","00:24:24,914",Run and find your father.
189,"00:24:21,545","00:24:24,914",Tell him the King is close.
190,"00:25:09,027","00:25:12,730",Where's Arya?
190,"00:25:09,027","00:25:12,730","Sansa, where's your sister?"
191,"00:25:22,842","00:25:24,476",- Hey hey hey hey.
191,"00:25:22,842","00:25:24,476",- Ohh.
192,"00:25:24,510","00:25:26,811",What are you doing
192,"00:25:24,510","00:25:26,811",with that on?
193,"00:25:29,614","00:25:31,750",Go on.
194,"00:25:33,052","00:25:34,853",Move!
195,"00:26:56,867","00:26:58,868",Your Grace.
196,"00:27:02,874","00:27:04,975",You've got fat.
197,"00:27:17,054","00:27:19,689",- Cat!
197,"00:27:17,054","00:27:19,689",- Your Grace.
198,"00:27:22,893","00:27:25,961",Nine years-- why haven't I seen you?
198,"00:27:22,893","00:27:25,961",Where the hell have you been?
199,"00:27:25,995","00:27:27,896",Guarding the north
199,"00:27:25,995","00:27:27,896","for you, your Grace."
200,"00:27:27,931","00:27:30,700",<i>Winterfell is yours.</i>
201,"00:27:33,737","00:27:36,173",- Where's the imp?
201,"00:27:33,737","00:27:36,173",- Will you shut up?
202,"00:27:36,207","00:27:38,909",Who have we here?
203,"00:27:38,943","00:27:40,711",You must be Robb.
204,"00:27:43,382","00:27:47,018","My, you're"
204,"00:27:43,382","00:27:47,018",a pretty one.
205,"00:27:47,053","00:27:49,020",Your name is?
206,"00:27:49,054","00:27:51,622",Arya.
207,"00:27:51,657","00:27:54,693","Oh, show us"
207,"00:27:51,657","00:27:54,693",your muscles.
208,"00:27:56,462","00:27:57,963",You'll be a soldier.
209,"00:28:00,567","00:28:03,369","<i>That's Jaime Lannister,</i>"
209,"00:28:00,567","00:28:03,369",<i>the Queen's twin brother.</i>
210,"00:28:03,403","00:28:05,605",<i>Would you please shut up?</i>
211,"00:28:15,048","00:28:17,249",My Queen.
212,"00:28:17,284","00:28:18,918",My Queen.
213,"00:28:18,953","00:28:21,154",Take me to your crypt.
213,"00:28:18,953","00:28:21,154",I want to pay my respects.
