Season;Episode;Name;Sentence;

1;01;bran;I promise

1;01;catelyn;D'you know what?

1;01;bran;What?

1;01;catelyn;You always look at your feet before you lie Run and find your father Tell him the king is close

1;01;catelyn;Where's Arya? Sansa, where's your sister?

1;01;ned;Hey,, hey, hey, hey What are you doing with that on?

1;01;arya;Move

1;01;ned;Your Grace

1;01;robert;You've got fat

1;01;robert;Cat

1;01;catelyn;Your Grace

1;01;robert;Nine years Why haven't I seen you? Where the hell have you been?

1;01;ned;Guarding the North for you, Your Grace Winterfell is yours

1;01;arya;Where's the Imp?

1;01;sansa;Will you shut up?

1;01;robert;Who have we here? You must be Robb My, you're a pretty one Your name is?

1;01;arya;Arya

1;01;robert;Ooh Show us your muscles You'll be a soldier

1;01;arya;That's Jaime Lannister The queen's twin brother

1;01;sansa;Would you please shut up

1;01;ned;My queen

1;01;catelyn;My queen

1;01;robert;Take me to your crypt I want to pay my respects

1;01;cersei;We've been riding for a month, my love Surely the dead can wait

1;01;robert;Ned

1;01;arya;Where's the Imp?

1;01;cersei;Where is our brother? Go find the little beast

1;01;ned;Tell me about Jon Arryn

1;01;robert;One minute he was fine, and then Burned right through him, whatever it was I loved that man

1;01;ned;We both did

1;01;robert;He never had to teach you much, but me You remember me at 16? All I wanted to do was crack skulls and fuck girls He showed me what was what

1;01;ned;Aye

1;01;robert;Don't look at me like that Not his fault I didn't listen I need you, Ned Down at Kings Landing Not up here, where you're no damn use to anybody Lord Eddard Stark, I would name you the Hand of the king

1;01;ned;I'm not worthy of the honor

1;01;robert;I'm not trying to honor you I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave Damn it, Ned, stand up You helped me win the Iron Throne, now help me keep the damn thing We were meant to rule together If your sister had lived, we would have been bound by blood Well, it's not too late I have a son, you have a daughter We'll join our Houses

1;01;tyrion;Mmh It is true what they say about the Northern girls

1;01;ros;Did you hear the king's in Winterfell?

1;01;tyrion;I did hear something about that

1;01;ros;And the queen And her twin brother They say that he is the most handsome man in the Seven Kingdoms

1;01;tyrion;And the other brother?

1;01;ros;The queen has two brothers?

1;01;tyrion;There's the pretty one And there's the clever one

1;01;ros;I hear they call him the Imp

1;01;tyrion;I hear he hates that nickname

1;01;ros;Oh? I hear he's more than earned it I hear he's a drunken little lecher into all manner of perversions

1;01;tyrion;Clever girl

1;01;ros;We've been expecting you, Lord Tyrion

1;01;tyrion;Have you?

1;01;tyrion;The gods gave me one blessing

1;01;jaime;Don't get up

1;01;ros;M'lord

1;01;tyrion;Should I explain to you the meaning of a closed door in a whorehouse, brother?

1;01;jaime;You've much to teach me, no doubt But our sister craves your attention

1;01;tyrion;She has odd cravings, our sister

1;01;jaime;A family trait Now, the Starks are feasting us at sundown Don't leave me alone with these people

1;01;tyrion;I'm sorry, I've begun the feast a bit early And this is the first of many courses

1;01;jaime;I thought you might say that But since we're short on time, Come on, girls See you at sundown

1;01;tyrion;Close the door!Scene changes to the Winterfell crypt, at Lyanna's tomb

1;01;robert;Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her

1;01;ned;She was my sister This is where she belongs

1;01;robert;She belonged with me

1;01;robert;In my dreams, I kill him every night

1;01;ned;It's done, Your Grace The Targaryens are gone

1;01;robert;Not all of them

1;01;viserys;Daenerys

1;01;viserys;Daenerys! There's our bride to be! Look – a gift from Illyrio Touch it Come on Feel the fabric Mmmm Isn't he a gracious host?

1;01;daenerys;We've been his guests for over a year and he's never asked us for anything

1;01;viserys;Illyrio is no fool He knows I won't forget my friends when I come into my throne You still slouch Let me see You have a woman's body now I need you to be perfect today Can you do that for me? You don't want to wake the dragon, do you?

1;01;daenerys;No

1;01;viserys;When they write the history of my reign, sweet sister, they will say it began today

1;01;maid;It's too hot, my lady

1;01;viserys;Where is he?

1;01;illyrio;The Dothraki are not known for their punctuality

1;01;illyrio;May I present my honored guests? Viserys of House Targaryen, the third of his name The rightful King of the Andals and the First Men And his sister, Daenerys, of the House Targaryen

1;01;viserys;Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame Khal Drogo has never been defeated He's a savage, of course, but he's one of the finest killers alive And you will be his queen

1;01;illyrio;Come forward, my dear

1;01;viserys;Where's he going?

1;01;illyrio;The ceremony is over

1;01;viserys;But he didn't say anything Did he like her?

1;01;illyrio;Trust me, Your Grace If he didn't like her, we'd know

1;01;illyrio;It won't be long now Soon you will cross the Narrow Sea and take back your father's throne The people drink secret toasts to your health They cry out for their true king

1;01;viserys;When will they be married?

1;01;illyrio;Soon The Dothraki never stay still for long

1;01;viserys;Is it true they lie with their horses?

1;01;illyrio;I wouldn't ask Khal Drogo

1;01;viserys;Do you take me for a fool?

1;01;illyrio;I take you for a king Kings lack the caution of common men My apologies if I've given offense

1;01;viserys;I know how to play a man like Drogo I give him a queen and he gives me an army DAENERYS I don't want to be his queen I want to go home

1;01;viserys;So do I I want us both to go home But they took it from us So tell me, sweet sister, how do we go home?

1;01;daenerys;I don't know

1;01;viserys;We go home with an army With Khal Drogo's army I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took

1;01;sansa;Do you think Joffrey will like me? What if he thinks I'm ugly?

1;01;catelyn;Then he is the stupidest prince that ever lived

1;01;sansa;He's so handsome

1;01;sansa;When would we be married? Soon or do we have to wait?

1;01;catelyn;Hush now Your father hasn't even said yes

1;01;sansa;Why would he say no? He'd be the second most powerful man in the kingdoms

1;01;catelyn;He'd have to leave home He'd have to leave me And so would you

1;01;sansa;You left your home to come here And I'd be queen someday Please make father say yes

1;01;catelyn;Sansa

1;01;sansa;Please, please It's the only thing I ever wanted

1;01;benjen;Is he dead yet?

1;01;jon;Uncle Benjen

1;01;benjen;You got bigger I rode all day Didn't want to leave you alone with the Lannisters Why aren't you at the feast?

1;01;jon;Lady Stark thought it might insult the royal family to seat a bastard in their midst

1;01;benjen;Well, you're always welcome on the wall No bastard was ever refused a seat there

1;01;jon;So take me with you when you go back

1;01;benjen;Jon

1;01;jon;Father will let me if you ask him, I know he will

1;01;benjen;The Wall isn't going anywhere

1;01;jon;I'm ready to swear your oath

1;01;benjen;You don't understand what you'd be giving up We have no families None of us will ever father sons

1;01;jon;I don't care about that

1;01;benjen;You might, if you knew what it meant I'd better get inside Rescue your father from his guests We'll talk later

1;01;tyrion;Your uncle's in the Night's Watch

1;01;jon;What're you doing back there?

1;01;tyrion;Preparing for a night with your family I've always wanted to see the Wall

1;01;jon;You're Tyrion Lannister The queen's brother?

1;01;tyrion;My greatest accomplishment You – you're Ned Stark's bastard, aren't you?

1;01;tyrion;Did I offend you? Sorry You are the bastard, though

1;01;jon;Lord Eddard Stark is my father

1;01;tyrion;And Lady Stark is not your mother Making you a bastard Let me give you some advice, bastard Never forget what you are The rest of the world will not Wear it like armor Then it can never be used to hurt you

1;01;jon;What the hell do you know about being a bastard?

1;01;tyrion;All dwarves are bastards in their fathers' eyes

1;01;benjen;You at a feast It's like a bear in a trap

1;01;ned;The boy I beheaded Did you know him?

1;01;benjen;Of course I did Just a lad But he was tough, Ned A true Ranger

1;01;ned;He was talking madness Said the Walkers slaughtered his friends

1;01;benjen;The two he was with are still missing

1;01;ned;A wildling ambush

1;01;benjen;Maybe Direwolves south of the wall Talk of the Walkers My brother might be the next Hand to the king Winter is coming

1;01;ned;Winter is coming

1;01;robb;Uncle Benjen

1;01;benjen;Robb boy How are ye?

1;01;robb;I'm good CATELYN Is this your first time in the North, Your Grace?

1;01;cersei;Yes Lovely country

1;01;catelyn;I'm sure it's very grim, after Kings Landing I remember how scared I was when Ned brought me up here for the first time

1;01;cersei;Hello, little dove But you are a beauty How old are you?

1;01;sansa;Thirteen, Your Grace

1;01;cersei;You're tall Still growing?

1;01;sansa;I think so, Your Grace

1;01;cersei;And have you bled yet?

1;01;sansa;No, Your Grace

1;01;cersei;And your dress Did you make it?

1;01;cersei;Such talent You must make something for me

1;01;cersei;I hear we might share a grandchild someday

1;01;catelyn;I hear the same

1;01;cersei;Your daughter will do well in the capital Such a beauty shouldn't stay hidden up here forever

1;01;ned;Your pardon

1;01;jaime;I hear we might be neighbors soon I hope it's true

1;01;ned;Yes, the king has honored me with his offer

1;01;jaime;I'm sure we'll have a tournament to celebrate the new title, if you accept It would be good to have you in the field The competition has become a bit stale

1;01;ned;I don't fight in tournaments

1;01;jaime;No? Getting a little old for it?

1;01;ned;I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do

1;01;jaime;Well said

1;01;sansa;Arya

1;01;robb;Time for bed

1;01;ned;I'm a Northman I belong here with you, not down south in that rat's nest they call a capital

1;01;catelyn;I won't let him take you

1;01;ned;The king takes what he wants That's why he's king

1;01;catelyn;I'll say, Listen, fat man, you are not taking my husband anywhere He belongs to me now

1;01;ned;How did he get so fat?

1;01;catelyn;He only stops eating when it's time for a drink

1;01;a voice;It's Maester Luwin, my lord

1;01;ned;Send him in

1;01;luwin;Pardon, my lord, my lady A rider in the night from your sister

1;01;ned;Stay

1;01;catelyn;This was sent from the Eyrie What's she doing at the Eyrie? She hasn't been back there since her wedding

1;01;ned;What news?

1;01;catelyn;She's fled the capital She says Jon Arryn was murdered By the Lannisters She says the king is in danger

1;01;ned;She's fresh widowed, Cat She doesn't know what she's saying

1;01;catelyn;Lysa's head would be on a spike right now if the wrong people had found that letter Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?

1;01;luwin;If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?

1;01;catelyn;They murdered the last Hand Now you want Ned to take the job

1;01;luwin;The king rode for a month to ask Lord Stark's help He's the only one he trusts You swore the king an oath, my lord

1;01;catelyn;He spent half his life fighting Robert's wars He owes him nothing Your father and brother rode south once on a king's demand

1;01;luwin;A different time Different king

1;01;viserys;When do I meet with the Khal? We need to begin planning the invasion

1;01;illyrio;If Khal Drogo has promised you a crown, you shall have it

1;01;viserys;When?

1;01;illyrio;When their omens favor war

